23:17:14 t=5:58 L1 hp=100% gold=1100 0/0/0 cs=0 | traveling lane=0% dmg=0 | intent=farm | jev=- | act=minimap move to 7400,7400 blocked=0
23:18:55 t=7:40 L2 hp=91% gold=1342 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.88) danger=0.1 recall=0.32 fight=0.22 aggr=0.4 item=Doran's Blade [316 ms, 1313 tok] | act=attack-move hold blocked=0
23:18:56 t=7:41 L2 hp=91% gold=1344 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.30 fight=0.23 aggr=0.4 item=Doran's Blade [359 ms, 1313 tok] | act=attack-move hold blocked=0
23:18:57 t=7:42 L2 hp=91% gold=1346 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.27 fight=0.23 aggr=0.4 item=Doran's Blade [406 ms, 1313 tok] | act=attack-move hold blocked=0
23:18:59 t=7:43 L2 hp=91% gold=1348 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.30 fight=0.23 aggr=0.4 item=Doran's Blade [121 ms, 1313 tok] | act=Q up the lane blocked=0
23:18:59 t=7:44 L2 hp=91% gold=1350 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.30 fight=0.23 aggr=0.4 item=Doran's Blade [121 ms, 1313 tok] | act=attack-move hold blocked=0
23:19:00 t=7:45 L2 hp=90% gold=1352 0/0/0 cs=0 | lane lane=53% dmg=1 | intent=farm | jev=farm (p=0.90) danger=0.1 recall=0.31 fight=0.23 aggr=0.4 item=Doran's Blade [550 ms, 1313 tok] | act=attack-move hold blocked=0
23:19:01 t=7:46 L2 hp=90% gold=1354 0/0/0 cs=0 | lane lane=53% dmg=1 | intent=farm | jev=farm (p=0.89) danger=0.4 recall=0.29 fight=0.24 aggr=0.6 item=Doran's Blade [262 ms, 1316 tok] | act=attack-move hold blocked=0
23:19:02 t=7:47 L2 hp=90% gold=1356 0/0/0 cs=0 | lane lane=53% dmg=1 | intent=farm | jev=farm (p=0.87) danger=0.4 recall=0.30 fight=0.25 aggr=0.5 item=Doran's Blade [234 ms, 1316 tok] | act=attack-move hold blocked=0
23:19:03 t=7:48 L2 hp=88% gold=1369 0/0/0 cs=0 | lane lane=53% dmg=3 | intent=farm | jev=farm (p=0.88) danger=0.4 recall=0.32 fight=0.26 aggr=0.6 item=Doran's Blade [148 ms, 1316 tok] | act=attack-move hold blocked=0
23:19:04 t=7:49 L2 hp=88% gold=1371 0/0/0 cs=0 | lane lane=53% dmg=3 | intent=farm | jev=farm (p=0.88) danger=0.4 recall=0.28 fight=0.25 aggr=0.5 item=Doran's Blade [196 ms, 1316 tok] | act=attack-move hold blocked=0
23:19:05 t=7:50 L2 hp=88% gold=1373 0/0/0 cs=0 | lane lane=53% dmg=2 | intent=farm | jev=farm (p=0.88) danger=0.4 recall=0.28 fight=0.25 aggr=0.5 item=Doran's Blade [196 ms, 1316 tok] | act=attack-move hold blocked=0
23:19:07 t=7:51 L2 hp=88% gold=1375 0/0/0 cs=0 | lane lane=53% dmg=1 | intent=farm | jev=farm (p=0.88) danger=0.5 recall=0.31 fight=0.24 aggr=0.5 item=Doran's Blade [286 ms, 1316 tok] | act=Q up the lane blocked=0
23:19:07 t=7:52 L2 hp=80% gold=1377 0/0/0 cs=0 | lane lane=53% dmg=8 | intent=farm | jev=farm (p=0.88) danger=0.4 recall=0.31 fight=0.25 aggr=0.5 item=Doran's Blade [111 ms, 1316 tok] | act=attack-move hold blocked=0
23:19:08 t=7:53 L2 hp=77% gold=1379 0/0/0 cs=0 | lane lane=53% dmg=11 | intent=farm | jev=farm (p=0.88) danger=0.5 recall=0.32 fight=0.24 aggr=0.5 item=Doran's Blade [216 ms, 1313 tok] | act=attack-move hold blocked=0
23:19:10 t=7:54 L2 hp=65% gold=1381 0/0/0 cs=0 | lane lane=53% dmg=22 | intent=farm | jev=retreat (p=0.71) danger=1.9 recall=0.63 fight=0.24 aggr=0.1 item=Health Potion [183 ms, 1315 tok] | act=attack-move hold blocked=0
23:19:10 t=7:55 L2 hp=52% gold=1383 0/0/0 cs=0 | lane lane=52% dmg=28 | intent=recall | jev=retreat (p=0.71) danger=1.9 recall=0.63 fight=0.24 aggr=0.1 item=Health Potion [183 ms, 1315 tok] | act=attack-move hold blocked=0
23:19:11 t=7:56 L2 hp=50% gold=1385 0/0/0 cs=0 | lane lane=50% dmg=26 | intent=recall | jev=retreat (p=0.69) danger=1.9 recall=0.64 fight=0.24 aggr=0.1 item=Doran's Blade [164 ms, 1315 tok] | act=minimap move to 5846,6396 blocked=0
23:19:12 t=7:57 L2 hp=50% gold=1388 0/0/0 cs=0 | lane lane=48% dmg=15 | intent=retreat | jev=retreat (p=0.64) danger=2.0 recall=0.69 fight=0.24 aggr=0.1 item=Health Potion [197 ms, 1315 tok] | act=minimap move to 5846,6396 blocked=0
